"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"EMX2OS",0,0.278401746120502,0.286,0.074,0,4,"EMX2OS"
"HNRNPL",0,0.278290795836577,0.854,0.808,0,4,"HNRNPL"
"SPAG1",0,0.27828949596382,0.308,0.087,0,4,"SPAG1"
"ITGB12",0,0.27818577133739,1,1,0,4,"ITGB1"
"PLOD3",0,0.27804405556435,0.803,0.711,0,4,"PLOD3"
"IFT81",0,0.277977432789478,0.449,0.238,0,4,"IFT81"
"LINC01426",0,0.277971860991744,0.347,0.135,0,4,"LINC01426"
"SPATA6",0,0.277969139513219,0.305,0.086,0,4,"SPATA6"
"MUTYH",0,0.27782483355067,0.392,0.152,0,4,"MUTYH"
"ANKRD52",0,0.277456720839111,0.441,0.205,0,4,"ANKRD52"
"PARVB",0,0.277048633477958,0.73,0.621,0,4,"PARVB"
"METTL21A",0,0.276995139045048,0.498,0.257,0,4,"METTL21A"
"ZBTB20",0,0.276964469529691,0.783,0.709,0,4,"ZBTB20"
"CCM2",0,0.276890933878096,0.751,0.602,0,4,"CCM2"
"IRX1",0,0.276665092538237,0.259,0.058,0,4,"IRX1"
"AKIP1",0,0.276360999480564,0.534,0.288,0,4,"AKIP1"
"CPLANE1",0,0.276347845967404,0.372,0.143,0,4,"CPLANE1"
"SNRPA1",0,0.276302208747409,0.971,0.958,0,4,"SNRPA1"
"TAF6",0,0.275952577486088,0.665,0.486,0,4,"TAF6"
"SYNE2",0,0.275902975046979,0.571,0.166,0,4,"SYNE2"
"COX7A12",0,0.275880739880999,0.546,0.392,0,4,"COX7A1"
"DDX39A",0,0.275866995427631,0.953,0.915,0,4,"DDX39A"
"TNS1",0,0.275534432472567,0.476,0.241,0,4,"TNS1"
"PSPC1",0,0.275456734278743,0.697,0.557,0,4,"PSPC1"
"TMOD2",0,0.275432024639055,0.339,0.112,0,4,"TMOD2"
"INO80E",0,0.274996636326058,0.619,0.401,0,4,"INO80E"
"MAST2",0,0.274985734329447,0.385,0.153,0,4,"MAST2"
"TAF15",0,0.274812935033892,0.784,0.743,0,4,"TAF15"
"MAGI3",0,0.274600138266197,0.32,0.098,0,4,"MAGI3"
"NSD3",0,0.273910808619747,0.897,0.814,0,4,"NSD3"
"PRMT7",0,0.273871196167637,0.408,0.172,0,4,"PRMT7"
"UBE2I",0,0.273781558303891,0.999,0.995,0,4,"UBE2I"
"CCDC137",0,0.27367782749096,0.869,0.808,0,4,"CCDC137"
"TP53I3",0,0.27367126945908,0.643,0.495,0,4,"TP53I3"
"RASAL2",0,0.273478127659744,0.499,0.262,0,4,"RASAL2"
"AADAT",0,0.27339677945324,0.259,0.05,0,4,"AADAT"
"NADK2",0,0.273330299227472,0.435,0.201,0,4,"NADK2"
"SRSF10",0,0.273249788623835,0.991,0.968,0,4,"SRSF10"
"WSB21",0,0.272833069611547,0.827,0.748,0,4,"WSB2"
"CPSF4",0,0.272822212262113,0.493,0.251,0,4,"CPSF4"
"ADGRA2",0,0.272814856057568,0.331,0.12,0,4,"ADGRA2"
"UHRF2",0,0.272812280043215,0.498,0.244,0,4,"UHRF2"
"FANCC",0,0.27268044148182,0.289,0.073,0,4,"FANCC"
"CLN6",0,0.272659828068324,0.317,0.098,0,4,"CLN6"
"CPXM1",0,0.272621689871992,0.341,0.135,0,4,"CPXM1"
"TRIM24",0,0.272615143991457,0.401,0.17,0,4,"TRIM24"
"AUTS2",0,0.272544455598411,0.441,0.192,0,4,"AUTS2"
"RTL8B",0,0.272491799991758,0.457,0.238,0,4,"RTL8B"
"CLCC1",0,0.272299565049421,0.545,0.307,0,4,"CLCC1"
"VKORC1L1",0,0.272293741634195,0.792,0.692,0,4,"VKORC1L1"
"AP2A1",0,0.272231401356027,0.84,0.757,0,4,"AP2A1"
"VASN",0,0.272217069519855,0.788,0.739,0,4,"VASN"
"PACSIN31",0,0.272182513685811,0.517,0.319,0,4,"PACSIN3"
"TPM41",0,0.271844246469999,1,1,0,4,"TPM4"
"GON7",0,0.271671815944321,0.723,0.605,0,4,"GON7"
"GPC61",0,0.271369768344066,0.395,0.175,0,4,"GPC6"
"C12orf65",0,0.271326524401392,0.619,0.411,0,4,"C12orf65"
"POLR3G",0,0.271133599514935,0.336,0.126,0,4,"POLR3G"
"SLC35D1",0,0.270953768143794,0.399,0.174,0,4,"SLC35D1"
"PLEKHA5",0,0.270369765290782,0.38,0.154,0,4,"PLEKHA5"
"PDE8A",0,0.270310797046116,0.505,0.264,0,4,"PDE8A"
"DPY19L1",0,0.270134299993796,0.45,0.223,0,4,"DPY19L1"
"CHST3",0,0.270045415610967,0.38,0.159,0,4,"CHST3"
"FKBPL",0,0.269823334678232,0.364,0.142,0,4,"FKBPL"
"DNM3OS2",0,0.269736204900762,0.538,0.322,0,4,"DNM3OS"
"GLCE",0,0.269725260547368,0.387,0.155,0,4,"GLCE"
"JAM31",0,0.269678019038045,0.571,0.344,0,4,"JAM3"
"NHLRC2",0,0.269328477821843,0.483,0.251,0,4,"NHLRC2"
"KDELC1",0,0.269247442140116,0.359,0.138,0,4,"KDELC1"
"INIP",0,0.269009700116076,0.569,0.323,0,4,"INIP"
"YBX1",0,0.268718505998512,1,1,0,4,"YBX1"
"CABLES2",0,0.268567666734861,0.266,0.056,0,4,"CABLES2"
"WDR5",0,0.268544947686365,0.688,0.527,0,4,"WDR5"
"ZDHHC14",0,0.268185424172046,0.344,0.127,0,4,"ZDHHC14"
"NSL1",0,0.26815791370279,0.765,0.643,0,4,"NSL1"
"CMBL",0,0.268120069711526,0.419,0.197,0,4,"CMBL"
"PCBP2",0,0.268110604793098,1,0.998,0,4,"PCBP2"
"GSC",0,0.268072593992916,0.264,0.063,0,4,"GSC"
"TCEA1",0,0.268064161140697,0.992,0.979,0,4,"TCEA1"
"DCBLD1",0,0.267909141280797,0.447,0.229,0,4,"DCBLD1"
"B4GALT6",0,0.267811154489632,0.295,0.084,0,4,"B4GALT6"
"METTL3",0,0.267685752432893,0.481,0.246,0,4,"METTL3"
"CEP135",0,0.267291322706297,0.478,0.234,0,4,"CEP135"
"THYN1",0,0.267233507693554,0.688,0.508,0,4,"THYN1"
"RNF219",0,0.26719157904081,0.508,0.261,0,4,"RNF219"
"AP002360.1",0,0.267191374914835,0.307,0.091,0,4,"AP002360.1"
